,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:16:17.735,   17.08,    7.63,    0.00,    0.00,,,,,,,,,   11.97,    5.28,    0.00,    0.00,,,,,,,,,   29.05,   12.92,    0.00,    0.00,    0.97,    0.96,    0.00,    0.00,   41.97, 1382.70,   82.23,    0.00,    0.00, 1358.25,   60.00,    0.00,    0.00,,,,, 1359.87,   57.41,    0.00,    0.00, 1363.29,   71.37,    0.00,    0.00,,,,, 5464.10,  271.01,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5735.11,   5493.15,    283.93,      0.00,      0.00,   5493.15,    283.93,   5777.08
2023-02-23,12:16:17.746,   20.81,    8.09,    0.00,    0.00,,,,,,,,,   18.01,    5.31,    0.00,    0.00,,,,,,,,,   38.82,   13.40,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   52.22, 1395.37,   86.23,    0.00,    0.00, 1390.98,   95.45,    0.00,    0.00,,,,, 1383.94,   79.01,    0.00,    0.00, 1391.39,   99.99,    0.00,    0.00,,,,, 5561.68,  360.67,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5922.36,   5600.50,    374.07,      0.00,      0.00,   5600.50,    374.07,   5974.57
2023-02-23,12:16:17.755,   12.90,    8.51,    0.00,    0.00,,,,,,,,,    9.48,    5.91,    0.00,    0.00,,,,,,,,,   22.37,   14.42,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,   36.79, 1327.86,   71.62,    0.00,    0.00, 1323.42,   83.38,    0.00,    0.00,,,,, 1305.47,   55.55,    0.00,    0.00, 1319.88,   72.27,    0.00,    0.00,,,,, 5276.63,  282.82,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5559.45,   5299.01,    297.24,      0.00,      0.00,   5299.01,    297.24,   5596.24
2023-02-23,12:16:17.765,   68.07,   10.02,    0.00,    0.00,,,,,,,,,   64.92,    7.92,    0.00,    0.00,,,,,,,,,  132.99,   17.95,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  150.93, 1349.13,   95.08,    0.00,    0.00, 1334.12,   81.46,    0.00,    0.00,,,,, 1329.22,   61.12,    0.00,    0.00, 1309.04,   48.12,    0.00,    0.00,,,,, 5321.51,  285.78,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5607.29,   5454.50,    303.72,      0.00,      0.00,   5454.50,    303.72,   5758.22
2023-02-23,12:16:17.776,   11.12,   10.94,    0.00,    0.00,,,,,,,,,    7.50,    7.78,    0.00,    0.00,,,,,,,,,   18.62,   18.71,    0.00,    0.00,    0.96,    0.94,    0.00,    0.00,   37.33, 1362.73,  102.85,    0.00,    0.00, 1356.77,   96.76,    0.00,    0.00,,,,, 1347.81,   79.88,    0.00,    0.00, 1352.02,   89.10,    0.00,    0.00,,,,, 5419.32,  368.60,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5787.92,   5437.94,    387.32,      0.00,      0.00,   5437.94,    387.32,   5825.25
2023-02-23,12:16:17.785,   29.95,    9.48,    0.00,    0.00,,,,,,,,,   24.35,    7.06,    0.00,    0.00,,,,,,,,,   54.30,   16.54,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,   70.84, 1359.76,   91.38,    0.00,    0.00, 1351.00,   73.42,    0.00,    0.00,,,,, 1346.20,   67.03,    0.00,    0.00, 1337.91,   68.22,    0.00,    0.00,,,,, 5394.86,  300.05,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5694.91,   5449.17,    316.59,      0.00,      0.00,   5449.17,    316.59,   5765.75
2023-02-23,12:16:17.795,   13.57,    8.28,    0.00,    0.00,,,,,,,,,    8.36,    5.38,    0.00,    0.00,,,,,,,,,   21.93,   13.65,    0.00,    0.00,    0.97,    0.95,    0.00,    0.00,   35.58, 1269.75,   75.14,    0.00,    0.00, 1268.67,   94.58,    0.00,    0.00,,,,, 1262.33,   72.76,    0.00,    0.00, 1261.61,   82.41,    0.00,    0.00,,,,, 5062.36,  324.88,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5387.24,   5084.29,    338.53,      0.00,      0.00,   5084.29,    338.53,   5422.82
2023-02-23,12:16:17.806,   19.92,    8.16,    0.00,    0.00,,,,,,,,,   16.11,    5.11,    0.00,    0.00,,,,,,,,,   36.03,   13.27,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,   49.30, 1459.68,   89.82,    0.00,    0.00, 1455.46,   84.98,    0.00,    0.00,,,,, 1460.77,   87.30,    0.00,    0.00, 1433.86,   64.26,    0.00,    0.00,,,,, 5809.77,  326.36,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 6136.13,   5845.81,    339.63,      0.00,      0.00,   5845.81,    339.63,   6185.43
2023-02-23,12:16:17.815,  113.56,   15.96,    0.00,    0.00,,,,,,,,,  105.30,   11.79,    0.00,    0.00,,,,,,,,,  218.85,   27.74,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  246.60, 1549.73,  108.51,    0.00,    0.00, 1524.65,   71.86,    0.00,    0.00,,,,, 1528.56,   79.42,    0.00,    0.00, 1525.54,   70.46,    0.00,    0.00,,,,, 6128.48,  330.25,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 6458.73,   6347.33,    357.99,      0.00,      0.00,   6347.33,    357.99,   6705.33
2023-02-23,12:16:17.825,   22.41,   13.38,    0.00,    0.00,,,,,,,,,   17.61,   11.34,    0.00,    0.00,,,,,,,,,   40.01,   24.72,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   64.73, 1409.23,   86.19,    0.00,    0.00, 1401.11,  107.70,    0.00,    0.00,,,,, 1387.58,   72.60,    0.00,    0.00, 1398.16,   95.06,    0.00,    0.00,,,,, 5596.07,  361.55,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00, 5957.62,   5636.08,    386.27,      0.00,      0.00,   5636.08,    386.27,   6022.35
