,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,07:30:51.641,  102.36,   69.93,    0.00,    0.00,,,,,,,,,   90.20,   60.21,    0.00,    0.00,,,,,,,,,  192.56,  130.14,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,  322.70,  771.76, 1184.91,    0.00,    0.00,  731.48, 1174.60,    0.00,    0.00,,,,,  731.30, 1170.24,    0.00,    0.00,  712.87, 1164.93,    0.00,    0.00,,,,, 2947.41, 4694.69,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 7642.10,   3139.97,   4824.83,      0.00,      0.00,   3139.97,   4824.83,   7964.81
2023-02-23,07:30:51.742,   90.56,   60.59,    0.00,    0.00,,,,,,,,,   75.61,   47.54,    0.00,    0.00,,,,,,,,,  166.17,  108.13,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  274.30,  668.29, 1069.89,    0.00,    0.00,  641.02, 1059.48,    0.00,    0.00,,,,,  642.19, 1058.31,    0.00,    0.00,  629.51, 1053.20,    0.00,    0.00,,,,, 2581.01, 4240.89,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 6821.90,   2747.18,   4349.02,      0.00,      0.00,   2747.18,   4349.02,   7096.20
2023-02-23,07:30:51.841,  184.92,  149.49,    0.00,    0.00,,,,,,,,,  143.44,  108.27,    0.00,    0.00,,,,,,,,,  328.36,  257.76,    0.00,    0.00,    1.03,    1.00,    0.00,    0.00,  586.12,  619.49, 1063.49,    0.00,    0.00,  564.44, 1050.29,    0.00,    0.00,,,,,  568.09, 1050.00,    0.00,    0.00,  553.88, 1046.67,    0.00,    0.00,,,,, 2305.90, 4210.45,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00, 6516.35,   2634.25,   4468.21,      0.00,      0.00,   2634.25,   4468.21,   7102.47
2023-02-23,07:30:51.941,  405.79,  354.77,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,,,,,  339.97,  293.04,    0.00,    0.00,,,,,,,,,  745.76,  647.80,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1393.56, 1270.98, 2275.68,    0.00,    0.00, 1103.21, 2210.87,    0.00,    0.00,,,,, 1112.02, 2210.51,    0.00,    0.00, 1055.84, 2189.64,    0.00,    0.00,,,,, 4542.05, 8886.70,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,13428.75,   5287.81,   9534.51,      0.00,      0.00,   5287.81,   9534.51,  14822.32
2023-02-23,07:30:52.041,  523.57,  442.39,    0.00,    0.00,,,,,,,,,  444.10,  366.95,    0.00,    0.00,,,,,,,,,  967.67,  809.34,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1777.01, 1606.03, 2876.46,    0.00,    0.00, 1375.48, 2807.08,    0.00,    0.00,,,,, 1390.39, 2807.40,    0.00,    0.00, 1303.25, 2765.79,    0.00,    0.00,,,,, 5675.14,11256.73,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16931.87,   6642.81,  12066.07,      0.00,      0.00,   6642.81,  12066.07,  18708.88
2023-02-23,07:30:52.141,  497.86,  447.30,    0.00,    0.00,,,,,,,,,  429.40,  384.76,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,  927.26,  832.06,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1759.32, 1620.43, 2962.35,    0.00,    0.00, 1378.13, 2892.39,    0.00,    0.00,,,,, 1398.55, 2894.38,    0.00,    0.00, 1309.13, 2855.54,    0.00,    0.00,,,,, 5706.24,11604.65,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17310.90,   6633.51,  12436.71,      0.00,      0.00,   6633.51,  12436.71,  19070.22
2023-02-23,07:30:52.241,  450.79,  383.13,    0.00,    0.00,,,,,,,,,  388.51,  325.08,    0.00,    0.00,,,,,,,,,  839.30,  708.21,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1547.51, 1560.55, 2856.51,    0.00,    0.00, 1328.58, 2785.29,    0.00,    0.00,,,,, 1345.77, 2787.48,    0.00,    0.00, 1266.56, 2755.38,    0.00,    0.00,,,,, 5501.47,11184.66,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16686.12,   6340.77,  11892.86,      0.00,      0.00,   6340.77,  11892.86,  18233.63
2023-02-23,07:30:52.341,  484.64,  418.30,    0.00,    0.00,,,,,,,,,  417.91,  355.25,    0.00,    0.00,,,,,,,,,  902.55,  773.55,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1676.10, 1601.82, 2876.18,    0.00,    0.00, 1368.26, 2804.22,    0.00,    0.00,,,,, 1389.72, 2812.49,    0.00,    0.00, 1306.74, 2777.34,    0.00,    0.00,,,,, 5666.53,11270.22,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16936.76,   6569.08,  12043.78,      0.00,      0.00,   6569.08,  12043.78,  18612.86
2023-02-23,07:30:52.442,  553.97,  489.18,    0.00,    0.00,,,,,,,,,  472.97,  411.44,    0.00,    0.00,,,,,,,,, 1026.94,  900.62,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1927.56, 1582.83, 2902.24,    0.00,    0.00, 1365.02, 2837.39,    0.00,    0.00,,,,, 1381.65, 2841.21,    0.00,    0.00, 1301.20, 2810.89,    0.00,    0.00,,,,, 5630.70,11391.73,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,17022.43,   6657.64,  12292.35,      0.00,      0.00,   6657.64,  12292.35,  18950.00
2023-02-23,07:30:52.541,  548.44,  486.51,    0.00,    0.00,,,,,,,,,  462.28,  402.29,    0.00,    0.00,,,,,,,,, 1010.72,  888.79,    0.00,    0.00,    1.02,    1.01,    0.00,    0.00, 1899.51, 1522.43, 2739.61,    0.00,    0.00, 1305.14, 2678.33,    0.00,    0.00,,,,, 1319.20, 2679.30,    0.00,    0.00, 1243.58, 2648.64,    0.00,    0.00,,,,, 5390.35,10745.89,    0.00,    0.00,    1.00,    1.00,    0.00,    0.00,16136.24,   6401.07,  11634.68,      0.00,      0.00,   6401.07,  11634.68,  18035.75
