,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:13:26.741,   18.95,   15.49,    0.00,    0.00,,,,,,,,,   11.35,    8.75,    0.00,    0.00,,,,,,,,,   30.30,   24.24,    0.00,    0.00,    0.91,    0.91,    0.00,    0.00,   54.54,   67.20,   34.15,    0.00,    0.00,   58.64,   30.43,    0.00,    0.00,,,,,   60.54,   29.38,    0.00,    0.00,   56.32,   29.00,    0.00,    0.00,,,,,  242.71,  122.96,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  365.67,    273.00,    147.21,      0.00,      0.00,    273.00,    147.21,    420.21
2023-02-23,12:13:26.751,    4.04,    6.19,    0.00,    0.00,,,,,,,,,    1.48,    3.54,    0.00,    0.00,,,,,,,,,    5.52,    9.73,    0.00,    0.00,    0.91,    0.75,    0.00,    0.00,   15.25,   35.17,   25.47,    0.00,    0.00,   30.77,   23.95,    0.00,    0.00,,,,,   31.17,   23.60,    0.00,    0.00,   27.89,   21.67,    0.00,    0.00,,,,,  125.00,   94.69,    0.00,    0.00,    0.96,    0.98,    0.00,    0.00,  219.69,    130.52,    104.42,      0.00,      0.00,    130.52,    104.42,    234.94
2023-02-23,12:13:26.762,   16.41,   15.46,    0.00,    0.00,,,,,,,,,   12.60,   12.22,    0.00,    0.00,,,,,,,,,   29.00,   27.69,    0.00,    0.00,    0.97,    0.96,    0.00,    0.00,   56.69,   59.78,   43.98,    0.00,    0.00,   46.59,   38.44,    0.00,    0.00,,,,,   49.70,   39.83,    0.00,    0.00,   45.03,   38.57,    0.00,    0.00,,,,,  201.09,  160.82,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  361.91,    230.10,    188.51,      0.00,      0.00,    230.10,    188.51,    418.60
2023-02-23,12:13:26.772,   12.65,    9.06,    0.00,    0.00,,,,,,,,,   10.48,    7.28,    0.00,    0.00,,,,,,,,,   23.13,   16.34,    0.00,    0.00,    0.96,    0.95,    0.00,    0.00,   39.48,   37.28,   32.26,    0.00,    0.00,   28.90,   29.32,    0.00,    0.00,,,,,   29.15,   28.89,    0.00,    0.00,   25.91,   27.93,    0.00,    0.00,,,,,  121.24,  118.39,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  239.63,    144.37,    134.74,      0.00,      0.00,    144.37,    134.74,    279.11
2023-02-23,12:13:26.783,   25.79,   27.68,    0.00,    0.00,,,,,,,,,   21.91,   24.93,    0.00,    0.00,,,,,,,,,   47.71,   52.61,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  100.31,   48.79,   83.33,    0.00,    0.00,   23.00,   73.52,    0.00,    0.00,,,,,   22.49,   73.02,    0.00,    0.00,   22.10,   73.79,    0.00,    0.00,,,,,  116.38,  303.67,    0.00,    0.00,    0.99,    0.97,    0.00,    0.00,  420.05,    164.08,    356.28,      0.00,      0.00,    164.08,    356.28,    520.36
2023-02-23,12:13:26.793,   39.77,   38.75,    0.00,    0.00,,,,,,,,,   36.72,   36.79,    0.00,    0.00,,,,,,,,,   76.49,   75.55,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  152.04,   57.55,  125.54,    0.00,    0.00,   30.57,  108.92,    0.00,    0.00,,,,,   28.91,  104.26,    0.00,    0.00,   27.90,  104.93,    0.00,    0.00,,,,,  144.93,  443.66,    0.00,    0.00,    0.96,    0.97,    0.00,    0.00,  588.59,    221.42,    519.21,      0.00,      0.00,    221.42,    519.21,    740.63
2023-02-23,12:13:26.803,   24.41,   18.03,    0.00,    0.00,,,,,,,,,   16.84,   12.22,    0.00,    0.00,,,,,,,,,   41.25,   30.25,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,   71.51,   61.65,   62.18,    0.00,    0.00,   46.98,   54.78,    0.00,    0.00,,,,,   45.60,   53.00,    0.00,    0.00,   40.94,   50.36,    0.00,    0.00,,,,,  195.17,  220.31,    0.00,    0.00,    0.99,    1.00,    0.00,    0.00,  415.48,    236.42,    250.57,      0.00,      0.00,    236.42,    250.57,    486.99
2023-02-23,12:13:26.813,  136.92,   65.38,    0.00,    0.00,,,,,,,,,  124.23,   61.16,    0.00,    0.00,,,,,,,,,  261.15,  126.54,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  387.69,  132.25,  127.35,    0.00,    0.00,  119.01,  121.44,    0.00,    0.00,,,,,  117.14,  119.63,    0.00,    0.00,  114.76,  118.94,    0.00,    0.00,,,,,  483.16,  487.36,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  970.52,    744.31,    613.90,      0.00,      0.00,    744.31,    613.90,   1358.21
2023-02-23,12:13:26.823,   91.23,   50.05,    0.00,    0.00,,,,,,,,,   83.25,   47.28,    0.00,    0.00,,,,,,,,,  174.48,   97.34,    0.00,    0.00,    0.98,    0.99,    0.00,    0.00,  271.81,   56.20,   88.59,    0.00,    0.00,   44.46,   88.51,    0.00,    0.00,,,,,   40.83,   84.13,    0.00,    0.00,   37.70,   84.64,    0.00,    0.00,,,,,  179.19,  345.87,    0.00,    0.00,    0.97,    0.97,    0.00,    0.00,  525.06,    353.66,    443.21,      0.00,      0.00,    353.66,    443.21,    796.87
2023-02-23,12:13:26.833,   16.19,   13.91,    0.00,    0.00,,,,,,,,,   14.32,   13.06,    0.00,    0.00,,,,,,,,,   30.50,   26.97,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   57.47,   27.01,   35.76,    0.00,    0.00,   19.53,   29.41,    0.00,    0.00,,,,,   17.53,   27.37,    0.00,    0.00,   15.88,   25.70,    0.00,    0.00,,,,,   79.95,  118.24,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  198.19,    110.45,    145.21,      0.00,      0.00,    110.45,    145.21,    255.66
2023-02-23,12:13:26.843,   21.33,   14.16,    0.00,    0.00,,,,,,,,,   17.13,   10.98,    0.00,    0.00,,,,,,,,,   38.46,   25.14,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,   63.60,   26.66,   25.25,    0.00,    0.00,   20.60,   20.21,    0.00,    0.00,,,,,   22.68,   21.68,    0.00,    0.00,   18.72,   17.98,    0.00,    0.00,,,,,   88.65,   85.13,    0.00,    0.00,    0.96,    0.96,    0.00,    0.00,  173.78,    127.11,    110.27,      0.00,      0.00,    127.11,    110.27,    237.38
2023-02-23,12:13:26.853,    4.07,    4.55,    0.00,    0.00,,,,,,,,,    2.42,    2.91,    0.00,    0.00,,,,,,,,,    6.49,    7.46,    0.00,    0.00,    0.91,    0.84,    0.00,    0.00,   13.95,    3.29,    3.78,    0.00,    0.00,    2.49,    2.97,    0.00,    0.00,,,,,    2.51,    2.83,    0.00,    0.00,    2.32,    2.69,    0.00,    0.00,,,,,   10.61,   12.26,    0.00,    0.00,    0.93,    0.90,    0.00,    0.00,   22.87,     17.09,     19.72,      0.00,      0.00,     17.09,     19.72,     36.82
2023-02-23,12:13:26.864,    7.25,    6.41,    0.00,    0.00,,,,,,,,,    4.38,    3.81,    0.00,    0.00,,,,,,,,,   11.63,   10.21,    0.00,    0.00,    0.94,    0.90,    0.00,    0.00,   21.84,    7.67,    7.19,    0.00,    0.00,    6.11,    5.88,    0.00,    0.00,,,,,    6.02,    5.70,    0.00,    0.00,    4.83,    4.68,    0.00,    0.00,,,,,   24.63,   23.44,    0.00,    0.00,    0.76,    0.81,    0.00,    0.00,   48.08,     36.26,     33.66,      0.00,      0.00,     36.26,     33.66,     69.92
2023-02-23,12:13:26.874,   38.43,   19.66,    0.00,    0.00,,,,,,,,,   34.07,   16.17,    0.00,    0.00,,,,,,,,,   72.50,   35.83,    0.00,    0.00,    0.97,    0.85,    0.00,    0.00,  108.33,   65.34,   29.97,    0.00,    0.00,   55.58,   24.12,    0.00,    0.00,,,,,   54.80,   22.47,    0.00,    0.00,   48.03,   17.05,    0.00,    0.00,,,,,  223.75,   93.61,    0.00,    0.00,    0.97,    0.98,    0.00,    0.00,  317.36,    296.25,    129.44,      0.00,      0.00,    296.25,    129.44,    425.69
