,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),iMC0 NM read hit rate,iMC1 NM read hit rate,iMC2 NM read hit rate,iMC3 NM read hit rate,Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2023-02-23,12:14:59.839,   15.74,   12.87,    0.00,    0.00,,,,,,,,,   11.57,    8.52,    0.00,    0.00,,,,,,,,,   27.31,   21.40,    0.00,    0.00,    0.92,    0.94,    0.00,    0.00,   48.70,   64.08,   25.47,    0.00,    0.00,   58.30,   23.06,    0.00,    0.00,,,,,   59.30,   23.34,    0.00,    0.00,   55.45,   23.24,    0.00,    0.00,,,,,  237.13,   95.12,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  332.25,    264.44,    116.51,      0.00,      0.00,    264.44,    116.51,    380.95
2023-02-23,12:14:59.848,    6.06,    5.98,    0.00,    0.00,,,,,,,,,    3.74,    3.56,    0.00,    0.00,,,,,,,,,    9.80,    9.54,    0.00,    0.00,    0.90,    0.85,    0.00,    0.00,   19.34,   32.00,   19.92,    0.00,    0.00,   28.54,   18.01,    0.00,    0.00,,,,,   28.06,   17.27,    0.00,    0.00,   25.94,   15.01,    0.00,    0.00,,,,,  114.55,   70.21,    0.00,    0.00,    0.94,    0.95,    0.00,    0.00,  184.76,    124.35,     79.76,      0.00,      0.00,    124.35,     79.76,    204.10
2023-02-23,12:14:59.859,   17.02,   16.59,    0.00,    0.00,,,,,,,,,   11.96,   11.52,    0.00,    0.00,,,,,,,,,   28.97,   28.11,    0.00,    0.00,    0.98,    0.96,    0.00,    0.00,   57.08,   67.94,   47.52,    0.00,    0.00,   54.43,   42.52,    0.00,    0.00,,,,,   54.53,   41.89,    0.00,    0.00,   50.45,   40.83,    0.00,    0.00,,,,,  227.35,  172.75,    0.00,    0.00,    1.00,    0.99,    0.00,    0.00,  400.10,    256.33,    200.86,      0.00,      0.00,    256.33,    200.86,    457.18
2023-02-23,12:14:59.868,   30.59,   27.56,    0.00,    0.00,,,,,,,,,   26.66,   23.21,    0.00,    0.00,,,,,,,,,   57.25,   50.76,    0.00,    0.00,    0.98,    0.98,    0.00,    0.00,  108.01,   44.74,   37.35,    0.00,    0.00,   35.89,   35.43,    0.00,    0.00,,,,,   35.83,   34.94,    0.00,    0.00,   32.75,   33.70,    0.00,    0.00,,,,,  149.20,  141.42,    0.00,    0.00,    0.97,    0.98,    0.00,    0.00,  290.62,    206.45,    192.19,      0.00,      0.00,    206.45,    192.19,    398.64
2023-02-23,12:14:59.879,    8.31,   15.97,    0.00,    0.00,,,,,,,,,    5.22,   13.77,    0.00,    0.00,,,,,,,,,   13.53,   29.75,    0.00,    0.00,    0.93,    0.90,    0.00,    0.00,   43.28,   53.16,   93.12,    0.00,    0.00,   20.03,   83.24,    0.00,    0.00,,,,,   19.58,   81.98,    0.00,    0.00,   19.24,   82.21,    0.00,    0.00,,,,,  112.01,  340.55,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  452.56,    125.54,    370.30,      0.00,      0.00,    125.54,    370.30,    495.84
2023-02-23,12:14:59.888,   31.12,   37.16,    0.00,    0.00,,,,,,,,,   26.67,   32.66,    0.00,    0.00,,,,,,,,,   57.79,   69.82,    0.00,    0.00,    0.98,    0.97,    0.00,    0.00,  127.61,   46.76,   97.76,    0.00,    0.00,   27.22,   83.19,    0.00,    0.00,,,,,   25.47,   79.28,    0.00,    0.00,   25.16,   80.77,    0.00,    0.00,,,,,  124.62,  341.00,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  465.62,    182.41,    410.82,      0.00,      0.00,    182.41,    410.82,    593.23
2023-02-23,12:14:59.899,   16.83,   14.09,    0.00,    0.00,,,,,,,,,   13.63,   10.96,    0.00,    0.00,,,,,,,,,   30.46,   25.06,    0.00,    0.00,    0.86,    0.85,    0.00,    0.00,   55.51,   50.79,   53.13,    0.00,    0.00,   39.74,   49.82,    0.00,    0.00,,,,,   39.86,   47.83,    0.00,    0.00,   36.58,   49.10,    0.00,    0.00,,,,,  166.98,  199.89,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  366.87,    197.43,    224.95,      0.00,      0.00,    197.43,    224.95,    422.38
2023-02-23,12:14:59.908,   25.72,   19.74,    0.00,    0.00,,,,,,,,,   24.16,   18.42,    0.00,    0.00,,,,,,,,,   49.88,   38.16,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,   88.04,   42.97,   45.89,    0.00,    0.00,   36.74,   42.43,    0.00,    0.00,,,,,   35.55,   41.88,    0.00,    0.00,   35.51,   40.12,    0.00,    0.00,,,,,  150.77,  170.32,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  321.09,    200.65,    208.49,      0.00,      0.00,    200.65,    208.49,    409.14
2023-02-23,12:14:59.919,   43.68,   27.94,    0.00,    0.00,,,,,,,,,   40.22,   27.11,    0.00,    0.00,,,,,,,,,   83.90,   55.05,    0.00,    0.00,    0.99,    0.99,    0.00,    0.00,  138.94,   38.18,   50.87,    0.00,    0.00,   27.51,   48.73,    0.00,    0.00,,,,,   25.47,   46.60,    0.00,    0.00,   23.60,   45.63,    0.00,    0.00,,,,,  114.75,  191.83,    0.00,    0.00,    0.99,    0.98,    0.00,    0.00,  306.58,    198.65,    246.87,      0.00,      0.00,    198.65,    246.87,    445.52
2023-02-23,12:14:59.928,   16.11,   14.78,    0.00,    0.00,,,,,,,,,   14.30,   13.30,    0.00,    0.00,,,,,,,,,   30.41,   28.08,    0.00,    0.00,    0.97,    0.96,    0.00,    0.00,   58.49,   29.79,   34.48,    0.00,    0.00,   21.89,   30.14,    0.00,    0.00,,,,,   19.65,   28.52,    0.00,    0.00,   18.56,   27.64,    0.00,    0.00,,,,,   89.89,  120.78,    0.00,    0.00,    0.98,    0.96,    0.00,    0.00,  210.68,    120.30,    148.86,      0.00,      0.00,    120.30,    148.86,    269.16
